Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
ATI,Color Emulation Card,CW16800-A,Wonder,1986,32 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,Graphics Solution,CW16800-A,Wonder,1986,64 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,EGA Wonder 800,16899-0 | CHIPS P82C435,Wonder,1987,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,Graphics Solution Plus,CW16800-B,Wonder,1987,64 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,VGA Improved Performance,16899-0 | CHIPS P82C441,Wonder,1987,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,EGA Wonder 480,16899-0 | CHIPS P82C435,Wonder,1988,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,EGA Wonder 800+,18800-1,Wonder,1988,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,
ATI,VGA Wonder,18800-1,Wonder,1990,256 KB,DRAM,32 bit,isa 8-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,VGA Wonder+,28800-5,Wonder,1990,512 KB,DRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,8514-Ultra,Mach8,Mach,1992,1 MB,VRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,
ATI,Graphics Ultra,Mach8,Mach,1992,1 MB,VRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro ISA,Mach32,Mach,1992,2 MB,DRAM,64 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro ISA,Mach32,Mach,1992,2 MB,DRAM,64 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Vantage,Mach8,Mach,1992,1 MB,DRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Wonder PCI,Mach32,Mach,1992,1 MB,DRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Wonder VLB,Mach32,Mach,1992,1 MB,DRAM,64 bit,vlb,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,VGA Wonder XL24,28800-6,Wonder,1992,1 MB,DRAM,32 bit,isa 16-bit,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro PCI,Mach32,Mach,1993,1 MB,DRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra Pro VLB,Mach32,Mach,1993,1 MB,VRAM,64 bit,vlb,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Ultra XLR VLB,Mach32,Mach,1993,1 MB,VRAM,64 bit,vlb,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
Sony,Playstation GPU 600nm,GTE,,1994,1 MB,VRAM,32 bit,unknown,11 W,fixed-pipeline,unknown,,,,
ATI,Graphics Pro Turbo,Mach64,Mach,1995,2 MB,VRAM,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
ATI,Graphics Xpression,Mach64,Mach,1995,2 MB,EDO,64 bit,pci,unknown,fixed-pipeline,unknown,,,,Unplayable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
